Date,Kommune,Transit,Residential,Retail,Workplace
2020-05-04,Billund,-84,9,-9,-28
2020-05-04,Bornholm,15,8,-33,-28
2020-05-04,Brøndby,-36,12,-7,-36
2020-05-04,Brønderslev,-9,8,-14,-33
2020-05-04,Dragør,-45,14,-33,-38
2020-05-04,Egedal,-40,14,-33,-42
2020-05-04,Esbjerg,-26,10,-20,-31
2020-05-04,Faaborg-Midtfyn,3,9,-9,-30
2020-05-04,Fanø,-32,9,-9,-30
2020-05-04,Favrskov,-29,11,-19,-35
2020-05-04,Faxe,-9,10,-9,-28
2020-05-04,Fredensborg,-15,13,-33,-36
2020-05-04,Fredericia,-43,10,9,-30
2020-05-04,Frederiksberg,-44,16,-47,-48
2020-05-04,Frederikshavn,-21,8,2,-26
2020-05-04,Frederikssund,-25,10,-33,-31
2020-05-04,Furesø,-27,14,-33,-47
2020-05-04,Gentofte,-17,17,-14,-46
2020-05-04,Gladsaxe,-37,14,-33,-41
2020-05-04,Glostrup,-41,14,-8,-39
2020-05-04,Greve,-17,13,-26,-37
2020-05-04,Gribskov,-13,10,-33,-30
2020-05-04,Guldborgsund,-29,8,11,-26
2020-05-04,Haderslev,-29,8,13,-28
2020-05-04,Halsnæs,-10,9,-33,-28
2020-05-04,Hedensted,-30,9,-19,-26
2020-05-04,Helsingør,-34,11,-30,-35
2020-05-04,Herlev,-31,14,-29,-37
2020-05-04,Herning,-33,11,-19,-32
2020-05-04,Hillerød,-41,12,-21,-37
2020-05-04,Hjørring,-28,9,-20,-28
2020-05-04,Høje-Taastrup,-43,12,-30,-37
2020-05-04,Holbæk,-34,10,8,-32
2020-05-04,Holstebro,-24,9,-16,-30
2020-05-04,Horsens,-21,9,-14,-31
2020-05-04,Hørsholm,-36,14,-33,-44
2020-05-04,Hvidovre,-34,13,-10,-39
2020-05-04,Ikast-Brande,-40,11,-19,-28
2020-05-04,Ishøj,-26,14,-31,-33
2020-05-04,Jammerbugt,-28,8,-14,-27
2020-05-04,Kalundborg,-21,8,-9,-22
2020-05-04,Kerteminde,-32,9,-9,-31
2020-05-04,København,-45,16,-46,-46
2020-05-04,Køge,-23,11,1,-36
2020-05-04,Kolding,-29,10,-31,-31
2020-05-04,Læsø,-28,10,-14,-30
2020-05-04,Langeland,-32,9,-9,-30
2020-05-04,Lejre,-39,10,-9,-39
2020-05-04,Lemvig,-30,11,-19,-26
2020-05-04,Lolland,-24,7,-9,-20
2020-05-04,Lyngby-Taarbæk,-42,17,-53,-49
2020-05-04,Mariagerfjord,-10,8,-14,-28
2020-05-04,Middelfart,-29,10,-9,-29
2020-05-04,Morsø,-28,10,-14,-26
